id,事務所id,名前,人数,性別,別名,active,activeend,師匠,旧コンビ名,ネタ製作者,出会い,由来,公式サイト,YouTube,tiktok
378,104,米粒写経,2,11,,1998/1/1 0:00,,ビートたけし,,,早稲田大学の落語研究会,,http://gomikuzu.com/,,
379,108,コメディNo.1,2,11,,1967/1/1 0:00,2009/1/1 0:00,,,,,,,,
380,108,ゴヤ ,2,11,,2019/1/1 0:00,,,待機児童[6] バッハ[7][8] 神楽[9] など[注 3],やまじ[10],早稲田大学のお笑いサークル,,,,
381,108,こりゃめでてーな,2,11,,2003/1/1 0:00,,,,おお江健次,NSC,,https://ameblo.jp/koudaikaiji,,
382,7,ゴリラコーポレーション,2,11,,2006/1/1 0:00,,,,,,,http://okinawafec.com/,,
383,108,コロコロチキチキペッパーズ,2,11,,2012/1/1 0:00,,,チョコレートマカロン（西野） 産地直送（ナダル） ハザードランプ,西野創人,,,https://profile.yoshimoto.co.jp/talent/detail?id=5093,https://www.youtube.com/channel/UCYQ-KobYn4cxCB2T_n05zEw,
384,108,コロナクラウン,2,11,,2016/1/1 0:00,2020/1/1 0:00,,ドラッパ（リロイ） あろ～ず、アレグレット（萬代）,,第3回ハイスクールマンザイ,,,,
385,999,コロムビア・トップ・ライト,2,11,,1950/1/1 0:00,2004/1/1 0:00,,,,,,,,
386,128,コロンボ,2,11,,1988/1/1 0:00,1996/1/1 0:00,,,,東京デザイン専門学校,,,,
387,91,コングチャンネル,2,11,,2016/1/1 0:00,,,,,,,,,
388,45,ゴンゴール,2,11,,2009/1/1 0:00,,,ヒサトモ,氏原真一,中学時代に通っていた塾,,http://www.kdashstage.jp/profile/archives/33,,
389,95,コンツ,2,11,,,2008/3/1 0:00,,,,,,,,
390,125,コント55号,2,11,,1966/1/1 0:00,,,,萩本欽一、岩城未知男（作家）,浅草フランス座,,,,
391,999,コント青年団,2,11,,1995/1/1 0:00,,,シリアルパパ,,,,,,
392,69,コント山口君と竹田君,2,11,,1982/1/1 0:00,,,,,新宿のストリップ劇場,,http://tom74.main.jp/yamatake.html,,
393,999,コント・レオナルド,2,11,,1979/1/1 0:00,1985/1/1 0:00,,,,,,,,
394,97,コンパス ,2,11,,2006/1/1 0:00,,,ドリンク（西本） シティーハンター（中島） レンジでチン（中島） 練馬タートルズ,西本宏一,,,https://universe1.net/list/compass.html,,
395,108,こん松・せんべい,2,11,,1994/1/1 0:00,2001/1/1 0:00,大木ひびき (こん松) 笑福亭仁扇 (扇平),,,,,,,
396,108,コンマニセンチ,2,11,,1998/1/1 0:00,2017/1/1 0:00,,,,NSC,,,https://www.youtube.com/user/commanicenti,
397,83,サードメン,2,11,,1996/1/1 0:00,2007/1/1 0:00,,アストロ・ノーツ,,,,,,
398,23,サービスパンダ,2,11,,1996/1/1 0:00,2001/1/1 0:00,,,,,,,,
399,88,埼京パンダース,2,11,,2014/1/1 0:00,,,ヒットマン（河野） クールズ（ガーユー）,,,,http://www.p-jinriki.com/talent/saikyopandas/,,
400,999,西都ハロー・ジロー,2,11,,,1965/1/1 0:00,,ハロー淳・漫,,,,,,
401,108,サウンドコピー,2,11,,1972/1/1 0:00,,,ザ・ミミックトリオ・ザ・ミミック,,,,,,
402,117,酒井くにお・とおる,2,11,,1970/1/1 0:00,,さがみ良太,,,実兄弟,,,,
403,146,サカイスト,2,11,,1998/8/3 0:00,,今いくよ・くるよ,,まさよし,兄弟,,,,
404,999,さかなDVD,2,11,,2005/1/1 0:00,2011/1/1 0:00,,ルービック（中西） あばれざる（花岡）,中西洋一,,,https://web.archive.org/web/20100310212140/http://www.yoshimoto.co.jp/base/groups/ditail/64,,
405,95,魚でF,2,11,,2002/1/1 0:00,2007/1/1 0:00,,チョーダイ（ズドン） ポプラ並木（及川）,,,,,,
406,139,さがみ三太・良太,2,11,,1974/1/1 0:00,2003/1/1 0:00,初代相模太郎,,,,,,,
407,95,坂道コロンブス,2,11,,1994/1/1 0:00,2004/1/1 0:00,,坂道コロコロ、エンヤコラさ,,,,,,
408,2,THE GEESE,2,11,,2004/1/1 0:00,,,,両者,大学のお笑いサークル,,http://ash-d.info/geese.html,https://www.youtube.com/channel/UCAeTkHJBS7B5NR86sO1U7GA,
409,999,さくらだモンスター,2,11,,2013/7/1 0:00,,,,,,,,,
410,53,さくらんぼブービー,2,11,,1999/1/1 0:00,2009/12/23 0:00,,,,千葉県立泉高等学校,,,,
411,108,THE GREATEST HITS ,2,11,,2015/1/1 0:00,,,南波エリーヌ、ケレン（三戸） THE EARTH（田崎）マイチェルシー（三戸）,両者,,,,,
412,999,ザ☆健康ボーイズ,2,11,,,,,,,,,,,
413,104,ザ・ゴリラバンド,2,11,,2009/10/1 0:00,2013/6/1 0:00,,,,WCS,,,,
414,108,ザ・シーツ,2,11,,2017/3/1 0:00,,,,瀬尾 健太朗,NSC東京校,,,https://www.youtube.com/channel/UCbikI2fsqemH_LwXZxiMM2A,
415,96,ざしきわらし ,2,11,,2009/1/1 0:00,2016/1/1 0:00,,,,NSC,,,,
416,999,ザ・社長ズ,2,11,,2002/1/1 0:00,,,,,Laugh&Peace（ラフ アンド ピース）,,,,
417,108,座長座長,2,11,,,,,,,,,,,
418,108,座長・社長,2,11,,,,,おくにと申します。,,,,,,
419,128,さすらいラビー,2,11,,2014/1/1 0:00,,,ちゃらいな（宇野） このよの（中田）,,学生お笑い大会,,http://www.ohtapro.co.jp/jrlive/sasurairaby/,,
420,999,ザ・ダッシュ,2,11,,,,,スプリングボーイズフォアダッシュ,,,,,,
421,95,ザ・たっち,2,11,,2003/1/1 0:00,,,角田ペア,,実兄弟,,https://ameblo.jp/the-touch,https://www.youtube.com/channel/UCJXxBR4KOPQwx07CYxT2O5A,
422,53,サツキ ,2,11,,2016/1/1 0:00,,,,門脇のりや,,,https://www.sunmusic-gp.co.jp/talent/satsuki/,,
423,146,ザ・ツタンカーメンズ,2,11,,,2010/11/1 0:00,,,,,,,,
424,999,サッチ ,2,11,,2012/1/1 0:00,2016/9/30 0:00,,,神田慶太郎,,,,,
425,108,ザ☆忍者,2,11,,2010/1/1 0:00,2017/1/1 0:00,,,,,,,,
426,53,ザ・パーフェクト,2,11,,2013/1/1 0:00,,,,ハードパンチャー妹尾,,,https://www.sunmusic-gp.co.jp/talent/the_perfect/,,
427,108,ザ・パンチ,2,11,,1998/1/1 0:00,,,松尾・浜崎、パラメ,,東京都立小平高等学校,,https://web.archive.org/web/20080302173826/http://thepunch.laff.jp/blog/,,
428,108,サバンナ ,2,11,,1994/1/1 0:00,,,,高橋 茂雄,立命館中学校,,,,
429,128,360°モンキーズ,2,11,,1997/1/1 0:00,2018/1/1 0:00,,,,帝京高校,,http://www.ohtapro.co.jp/talent/SaburokuMonkeys/,,
430,104,ザブングル ,2,11,,1999/1/1 0:00,2021/1/1 0:00,,ウエストサイド（松尾） 爆笑かつお・よしお（加藤）,両者,NSC,,https://www.watanabepro.co.jp/mypage/4000004/,,
431,108,ザ・ぼんち,2,11,,1972/1/1 0:00,,タイヘイトリオ,,,興國高校の同級生,,https://profile.yoshimoto.co.jp/talent/detail?id=031,,
432,94,さまぁ?ず,2,11,,1989/1/1 0:00,,,バカルディ,両者 （大竹がネタの大半を書き、三村がツッコミを考える）,東海大学付属高輪台高等学校,,https://www.horipro.co.jp/summers/,https://www.youtube.com/channel/UC9GWh7Q2EbFMq3kqSSjNFRw,
433,88,ザ・マミィ,2,11,,2018/1/1 0:00,,,卯月,両者,養成所,,http://www.p-jinriki.com/talent/themommy/,,
434,999,サミットクラブ,2,11,,1999/1/1 0:00,,,,ムラコ、静恵一ともに,小学校時代の幼馴染,,http://www.summitclub.jp/,,
435,146,サムタイムズ,2,11,,2007/1/1 0:00,2017/1/1 0:00,,,,,,,,
436,108,侍スライス,2,11,,,2011/1/1 0:00,,,加藤勇二,NSC入学前からの友人,,https://profile.yoshimoto.co.jp/talent/detail?id=6649,,
437,108,さや香,2,11,,2014/1/1 0:00,,,パリ、オリオン（新山） ハナガタ（石井）,新山,NSC,,https://profile.yoshimoto.co.jp/talent/detail?id=6046,,
438,108,ザ・やなせふなおか,2,11,,2006/1/1 0:00,2011/1/1 0:00,,騎兵隊（柳瀬） ラブミーテンダー、レイカーズ（舟岡）,,,,http://www.yoshimoto.co.jp/umeda/performer/each.php?no=014,,
439,146,サヨナラダンス,2,11,,,,,,,,,,,
440,108,更級第3小節,2,11,,2020/1/1 0:00,2021/4/10 0:00,,北川 ドラゴンマンハッタン バビンスキー オールドファッション御縁 サルエル半ズボン 背水のジャン,,,,,,
441,170,さらば青春の光 ,2,11,,2008/1/1 0:00,,,カサブランカ（森田）  フルハウス、119、ヤンバルクイナ（東ブクロ）,森田哲矢,松竹の養成所,,http://www.sarabaseisyunnohikari.com,https://www.youtube.com/channel/UCNvcNd31bA-XERO6LGy4blw,
442,128,猿岩石,2,11,,1994/1/1 0:00,2004/1/1 0:00,,手裏剣トリオ,有吉弘行,小学校時代,,,,
443,108,サルゴリラ,2,11,,2016/1/1 0:00,,,ミートホープジューシーズ,,幼稚園,,https://profile.yoshimoto.co.jp/talent/detail?id=6115,,
444,108,ザ・ローリングモンキー,2,11,,2018/1/1 0:00,,,,ムサシ,NSC,,https://profile.yoshimoto.co.jp/talent/detail?id=7126,,
445,146,ザ・ワールド ,2,11,,2007/7/1 0:00,,,無駄無駄ラッシュ,,,,,,
446,108,サンシャイン ,2,11,,2011/1/1 0:00,,,,坂田光,福岡大学,,https://profile.yoshimoto.co.jp/talent/detail?id=3554,,
447,96,三四郎 ,2,11,,2005/1/1 0:00,,,次男坊,小宮 浩信,,,https://www.maseki.co.jp/talent/sanshiro,,
448,88,ザンゼンジ,2,11,,2008/1/1 0:00,2015/1/1 0:00,,,三福英敬,養成所,,http://www.p-jinriki.com/pc/talent/zanzenji/,,
449,999,さんだあず,2,11,,1999/1/1 0:00,,,,,立命館大学国際関係学部,,,,
450,86,3段5段,2,11,,,,,,,,,,https://www.youtube.com/channel/UCzBxgbT5FO3nsbiuuijq2OA,
451,95,さんだる ,2,11,,2013/1/1 0:00,,,,,,,http://com.horipro.co.jp/talent/さんだる/index.html,,
452,44,サンドウィッチマン ,2,11,,1998/1/1 0:00,,,ゆやゆよん（富澤） 親不孝 銭と拳 バイキング,富澤たけし,仙台商業高等学校 （現・仙台市立仙台商業高等学校）ラグビー部,,https://grapecom.jp/talent_writer/sandwichman/,,
453,108,サンドロップ,2,11,,2009/1/1 0:00,2020/1/1 0:00,,,,,,,,
454,117,さんびーち,2,11,,2010/10/1 0:00,,,ガブル／ガブル（ひょうご） マッチポンプ（山田）,,,,https://web.archive.org/web/20160917033136/http://www.shochikugeino.co.jp/talents/03/sunbeach.html,,
455,53,三拍子 ,2,11,,2001/1/1 0:00,,,,高倉陵,専門学校の同期,,https://www.sunmusic-gp.co.jp/talent/sanbyoshi/,,
456,88,サンミラノ,2,11,,2007/1/1 0:00,2011/1/1 0:00,,宵待草（長屋）,,養成所,,http://www.p-jinriki.com/pc/talent/sunmirano/,,
457,146,C・A・T,2,11,,2010/1/1 0:00,2011/1/1 0:00,,,,,,https://web.archive.org/web/20091129200848/http://shiomi-yusuke.laff.jp/,,
458,23,シーソーゲーム ,2,11,,,2009/7/1 0:00,,,,,,https://web.archive.org/web/20090117040030/http://ip.tosp.co.jp/i.asp?I=seesawgame_main,,
459,104,Gパンパンダ,2,11,,2017/1/1 0:00,,,,星野光樹,筑波大学附属中学校,,https://www.watanabepro.co.jp/mypage/4000095/,https://www.youtube.com/channel/UCtVEAes7EgR9TRGQ5qLDvUg,
460,104,G★MENS,2,11,,1992/1/1 0:00,2001/11/1 0:00,,,,静岡県立清水工業高等学校の同級生,,,,
461,95,シーランド ,2,11,,,,,,,高校生時代（同級生）,,http://web.archive.org/web/20071012061425/http://com.horipro.co.jp/profile/35sea.html,,
462,108,シェイクダウン,2,11,,1992/1/1 0:00,2000/1/1 0:00,,,,吉本総合芸能学院,,,,
463,95,JJポリマー,2,11,,1999/1/1 0:00,2011/9/30 0:00,,キッチンメイト・チョッパー、しゅりけん売り,,,,http://com.horipro.co.jp/profile/13jj.html,,
464,104,シェーン,2,11,,2000/1/1 0:00,2013/1/1 0:00,,核、コア セブンブリッジ（梶本） ショットガン（吉井）,,,,,,
465,108,ジェットコースター ,2,11,,2002/1/1 0:00,2007/1/1 0:00,,たなか・こうさか 田中・上坂 田中上坂,,NSC,,,,
466,147,ジェニーゴーゴー,2,11,,2004/1/1 0:00,2015/1/1 0:00,,,,東京NSCの同期生,,,,
467,999,塩コショー,2,11,,2001/1/1 0:00,2008/1/1 0:00,,塩コショウ,,,,,,
468,108,シガーロング,2,11,,,2007/12/1 0:00,,,,,,,,
469,146,シカゴ実業,2,11,,2016/10/18 0:00,,,ドーベルウーマン セブンセンス 数学AB(中川) ボーイズビー マナティズ ポイズン反町(ピン) ルルル(山本),両者,,,https://profile.yoshimoto.co.jp/talent/detail?id=6529,,
470,88,じぐざぐ ,2,11,,2010/1/1 0:00,,,,ジャンプ,JCAの同期,,http://www.p-jinriki.com/talent/jiguzagu/,,
471,96,ジグザグジギー,2,11,,2008/2/1 0:00,,,キムラニューロン カンタンドリル（池田） ビッグバン（宮澤） など,両者,,,https://www.maseki.co.jp/talent/zigzagziggy,,
472,108,シシガシラ ,2,11,,2018/1/1 0:00,,,春夏秋冬（浜中） ヨコハマホームラン（脇田）,,,,,,
473,999,獅子てんや・瀬戸わんや,2,11,,1952/1/1 0:00,1993/1/1 0:00,内海突破,,,内海突破の門下生同士,,,,
474,95,磁石 ,2,11,,2000/1/1 0:00,,,,両者,日本映画学校,,http://com.horipro.co.jp/talent/jisyaku/,https://www.youtube.com/channel/UCCxFYLhwZwWAXZ_3iZAVN9g,
475,108,しずる,2,11,,2003/1/1 0:00,,,リアン（村上） チョコサラミ（池田）,両者,NSC,,https://web.archive.org/web/20080207045758/http://shizuru.laff.jp/,https://www.youtube.com/c/しずる公式チャンネル,
476,146,自然のいえ,2,11,,2008/7/1 0:00,2010/7/1 0:00,,サンゴ礁（三浦）,,,,,,
477,108,ジソンシン,2,11,,,,,かんばさかい センチメンタル キャサリン（酒井） みえテン ままかり神宮 ノラ劇団（下村）,酒井孝太,,,https://profile.yoshimoto.co.jp/talent/detail?id=5157,,
478,108,シソンヌ ,2,11,,2006/1/1 0:00,,,,じろう,吉本総合芸能学院,,https://profile.yoshimoto.co.jp/talent/detail?id=2735,https://www.youtube.com/user/sissonnelive,
479,108,次長課長,2,11,,1994/1/1 0:00,,,次長課長社長,両者（主導権は井上）,岡山市立京山中学校,,,,
480,60,シティホテル3号室,2,11,,2011/1/1 0:00,,,,川合亮太,ワタナベコメディスクール14期,,http://www.titan-net.co.jp/talent/cityhotel3goushitsu/,,
481,108,品川庄司,2,11,,1995/1/1 0:00,,,アンバサダー（品川） フィルダースチョイス（庄司） あん肝すな肝（庄司） フェニックスブラザーズ（庄司） クリーニングクリーム（庄司） ミサイル,品川祐,NSC,,,https://www.youtube.com/channel/UCbsO-7CTTo_-JZAj92Ethjw,
482,88,ジプシーダンス,2,11,,2006/1/1 0:00,2014/1/1 0:00,,,,養成所,,http://www.p-jinriki.com/pc/talent/gypsydance/,,
483,101,シマウマフック,2,11,,2016/4/6 0:00,,,,シマダネズミ,,,,,
484,108,しましまんず,2,11,,1989/1/1 0:00,,,,,,,,,
485,108,島田紳助・松本竜介,2,11,,1976/1/1 0:00,1985/1/1 0:00,,,島田紳助,明石家さんまの紹介,,,,
486,108,シマッシュレコード,2,11,,2010/1/1 0:00,,,フレンチブルドッグ（島居） TOKYO無鉄砲（嶋田）,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6571,,
487,108,清水圭・和泉修,2,11,,1984/1/1 0:00,2001/1/1 0:00,,圭太・修吉,,同志社大学の先輩・後輩,,,,
488,999,〆さば,2,11,,1989/1/1 0:00,2006/9/1 0:00,ビートたけし,雨空トッポ・ライポ,,,,,,
489,88,地面,2,11,,2015/1/1 0:00,2016/1/1 0:00,,,,,,http://www.p-jinriki.com/talent/jimen/,,
490,108,霜降り明星,2,11,,2013/1/1 0:00,,,中島ミート、ドンパルトン（せいや） スペード（粗品）,両者,ハイスクールマンザイ,,https://profile.yoshimoto.co.jp/talent/detail?id=5087,https://www.youtube.com/channel/UCpGpA7mSYmNJjLiJxKso5QA,
491,125,ジャイアントジャイアン,2,11,,2013/1/1 0:00,,,カーズ（かーしゃ） フランクフルト（こまたつ）,かーしゃ,ワタナベコメディスクールの同期生,,http://asaikikaku.co.jp/talent/profile/giantgian,,
492,104,シャカ,2,11,,1997/1/1 0:00,,,,大熊ひろたか,小学校時代,,,,
493,76,ジャガーズ,2,11,,1997/1/1 0:00,,,パラノイドパラダイス,,実兄弟,,https://www.noreason.jp/tag/jaguars/,,
494,45,ジャガモンド,2,11,,2014/1/1 0:00,,,,,中学生時代からの同級生,,http://www.kdashstage.jp/profile/archives/28,https://www.youtube.com/channel/UCLcDWeS_NwgoElaUQyXI7Gw,
495,146,しゃかりき,2,11,,2011/1/1 0:00,,,,ひかる,NSC,,https://profile.yoshimoto.co.jp/talent/detail?id=6556,,
496,75,ジャスミン ,2,11,,2010/1/1 0:00,2012/1/1 0:00,,むらさきブームソン（室伏） 青春バニラ（ようだ）,,知人の紹介,,,,
497,28,シャバダバ,2,11,,2004/1/1 0:00,2011/1/1 0:00,,,,NSC,,,,
498,65,ジャパネーズ,2,11,,2011/4/1 0:00,,,チューリップメロンパン 黒子タクシー,ウネモトモネ,養成所,,https://japanez-web.amebaownd.com/,,
499,108,じゃぴょん,2,11,,1994/1/1 0:00,2013/1/1 0:00,,犬ティッシュ ウルグアイパラグアイ,,大東文化大学のサークル,,https://web.archive.org/web/20080207024842/http://japyon.laff.jp/,,
500,63,シャベルカー,2,11,,2004/1/1 0:00,,,,,宮城県名取北高校,,http://ip.tosp.co.jp/i.asp?I=shaberu_car_91,,
501,96,しゃもじ ,2,11,,2003/1/1 0:00,,,,両者,沖縄県立沖縄工業高等学校の同級生,,https://maseki.co.jp/talent/syamoji,,
502,108,ジャリズム,2,11,,1991/1/1 0:00,2011/1/1 0:00,,山下・渡辺,渡辺あつむ,NSC,,,,
503,108,ジャルジャル,2,11,,2003/1/1 0:00,,,,両者,関西大学第一高等学校,,https://profile.yoshimoto.co.jp/talent/detail?id=179,https://www.youtube.com/channel/UChwgNUWPM-ksOP3BbfQHS5Q,
504,108,ジャンゴ,2,11,,2015/1/1 0:00,2020/1/1 0:00,,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6451,https://www.youtube.com/channel/UCnTQPe47gNKJ5HFzuwfooXA,
505,108,シャンプーハット ,2,11,,1994/11/1 0:00,,,ナイスフェイス モアイと宇宙人,,新大阪歯科技工士専門学校の同級生,,,,
506,117,自由きまま,2,11,,2009/6/1 0:00,,,,,,,,,
507,104,18KIN,2,11,,1997/1/1 0:00,,,ネンチャクパンチ（今泉）,,幼稚園時代,,http://www.watanabepro.co.jp/mypage/artist/18kin.html,,
508,53,シューマッハ,2,11,,2013/1/1 0:00,,,バレンティーノ（五味） ハッピーボーイズ（中村）,五味侑也,,,https://www.sunmusic-gp.co.jp/talent/schumacher/,,
509,146,ジュゴン ,2,11,,2018/1/1 0:00,2019/1/1 0:00,,,,NSC,,,,
510,95,シュテンドウジ ,2,11,,2015/4/1 0:00,2019/9/1 0:00,,,,目黒笑売塾,,,,
511,4,ジュビレッチェ,2,11,,2019/1/1 0:00,,,,,,,http://www.cinemact.co.jp/profile/%e3%82%b8%e3%83%a5%e3%83%93%e3%83%ac%e3%83%83%e3%83%81%e3%82%a7/,,
512,108,ジュリエッタ ,2,11,,2013/1/1 0:00,,,連中 ガトリングガン（井尻） 鯉女房 ビンチョウタン（藤本）ソーセージ（藤本）,藤本聖,,,,,
513,60,瞬間メタル,2,11,,2003/6/1 0:00,,,前田ばっこーとタケタリーノ山口,,,,http://shunkanmetal.jp/,,
514,108,ジョイマン ,2,11,,2003/1/1 0:00,,,,,横浜市立谷本中学校,,https://profile.yoshimoto.co.jp/talent/detail?id=612,https://www.youtube.com/joymanrap,
515,86,笑輝,2,11,,2008/1/1 0:00,2011/1/1 0:00,,,,,,http://p-hit.net/html/talent17_syou.html,,
516,104,笑撃戦隊,2,11,,2007/1/1 0:00,,,,,,,,,
517,108,ショウショウ,2,11,,1987/1/1 0:00,,二葉由紀子・羽田たか志,羽田昇司・昇平,羽田昇司,,,,,
518,999,上々軍団,2,11,,2003/1/1 0:00,,,,,神奈川県立住吉高等学校,,http://www.up-front-create.com/jyoujyougundan/,,
519,128,ジョウダンアオナナテンパイ,2,11,,2014/1/1 0:00,,,,冨山麗璃,,,,,
520,146,笑南,2,11,,2005/1/1 0:00,2009/1/1 0:00,,,鈴木皓至,,,,,
521,16,湘南デストラーデ,2,11,,2009/1/1 0:00,2019/1/1 0:00,,,,同じ事務所所属同士,,,,
522,108,少年感覚,2,11,,2007/1/1 0:00,2012/4/26 0:00,,,,大学,,,,
523,108,笑ハンティング,2,11,,1994/1/1 0:00,2015/1/1 0:00,中田ボタン（中田）,まさし・裕士（中田） 中田尚希・裕士（中田） テイクオフ（宮本）,,,,https://profile.yoshimoto.co.jp/talent/detail?id=570,,
524,23,少林寺健康クラブ,2,11,,2001/1/1 0:00,2012/1/1 0:00,,,,,,http://ip.tosp.co.jp/i.asp?i=syoriken,,
525,143,昭和のいる・こいる,2,11,,1966/1/1 0:00,,獅子てんや・瀬戸わんや 五代目鈴々舎馬風,花園のいる・こいる 獅子のびる・瀬戸こえる,,,,,,
526,123,ジョーク・アベニュー,2,11,,1986/1/1 0:00,1997/1/1 0:00,,,,,,,,
527,38,ジョーダンズ,2,11,,1992/1/1 0:00,2007/1/1 0:00,ビートたけし 志村けん（山崎） コロッケ（三又）,,山崎まさや,付き人同士,,,,
528,124,松鶴家光晴・浮世亭夢若,2,11,,,,,,,,,,,
529,108,職人 ,2,11,,2016/1/1 0:00,,,あいつら(おっくん)、みぎひだり、ピンポンダッシュ(こーぞー),おっくん主軸に二人で作成,NSC,,,,
530,128,しらすのこうげき!,2,11,,2016/1/1 0:00,,,こいするお花,,専門学校東京アナウンス学院,,,,
531,107,シルキーライン,2,11,,2007/1/1 0:00,2020/1/1 0:00,,,,中学校,,https://tap-1.jp/silky/,,
532,999,素人・玄人,2,11,,,,,,,Heavy Metal Syndicate,,,,
533,71,しろっぷ,2,11,,2009/2/1 0:00,,,,じゅんぺい,札幌市立柏丘中学校,,,,
534,85,シロハタ,2,11,,2009/1/1 0:00,,,,,,,,,
535,85,ジンカーズ,2,11,,2003/1/1 0:00,,,,,横浜市立大学落語研究会,,,,
536,108,ジンギスキャン,2,11,,2001/1/1 0:00,,,ライムライト ジンギスカン,,幼稚園,,,,
537,88,真空ジェシカ,2,11,,2011/1/1 0:00,,,川北コンビ[3][4],川北茂澄[5],大学のお笑いサークル,,http://www.p-jinriki.com/talent/shinkujesica/,https://www.youtube.com/channel/UCePaZ2UkSfEUarY2HNm52fw,
538,146,シンクタンク,2,11,,1993/1/1 0:00,,,,,,,,,
539,104,新作のハーモニカ,2,11,,2015/1/1 0:00,,,,藤田 隼人,ワタナベコメディスクール,,https://www.watanabepro.co.jp/mypage/4000080/,https://www.youtube.com/channel/UC1IBxJEfhdp6c_Z6cLg4Svg,
540,999,新宿カウボーイ,2,11,,2006/1/1 0:00,,,いちばんのり!（かねきよ） やまうば（石沢）,両者,,,https://shinjukucowboy.amebaownd.com/,,
541,88,シンデレラ ,2,11,,2006/1/1 0:00,2013/1/1 0:00,,,,,,http://www.p-jinriki.com/talent/hatakeyama/,,
542,117,シンデレラエキスプレス,2,11,,1988/1/1 0:00,,,,,,,https://www.shochikugeino.co.jp/talents/cinderellaexpress/,,
543,104,しんのすけとシャン,2,11,,2007/1/1 0:00,2017/7/1 0:00,,,両者(携帯電話のメールのやり取り),ワタナベコメディスクール,,,,
544,85,シンプソンズ ,2,11,,,,,,,,,,,
545,53,シンプル ,2,11,,2006/1/1 0:00,,,恋愛小説家,西野晶雄,演劇ユニット「横断歩道」,,https://www.sunmusic-gp.co.jp/talent/simple/,,
546,104,彗星バロック,2,11,,2019/1/1 0:00,,,,,WCS（ワタナベコメディスクール）28期,,,,
547,53,スウィング ,2,11,,1995/1/1 0:00,2003/1/1 0:00,,,,養成所,,https://web.archive.org/web/20030727081538/http://www.sunmusic.org:80/get/suuinngu.html,,
548,83,スーパースター ,2,11,,,,,首都高ヴィーナス（貞） メロンソーダ（ハヤシモト）,,,,http://www.primecorp.co.jp/prof/superstar.html,,
549,146,スーパーマッシュパーティー,2,11,,2011/1/1 0:00,2013/1/1 0:00,,,,bar,,,,
550,108,スーパーマラドーナ,2,11,,2003/12/1 0:00,2007/1/1 0:00,,マラドーナ,武智,NSC大阪校,,https://profile.yoshimoto.co.jp/talent/detail?id=387,https://www.youtube.com/channel/UCMcR5t3F2dgNumXLkVBdc9g,
551,128,スープレックス,2,11,,1994/1/1 0:00,2000/1/1 0:00,,,川島省吾,千葉の高校の不良仲間,,,,
552,108,すゑひろがりず,2,11,,2011/4/1 0:00,,,三島 バルチック艦隊南條 うずまき2人 ドロスス みなみのしま （以上時系列順）ガンセキオープン,三島 達矢,NSC,,https://profile.yoshimoto.co.jp/talent/detail?id=3712,https://www.youtube.com/channel/UC0vhOipAozD9bZcNy6CTpgQ,
553,85,スカイブリッジ ,2,11,,2015/11/3 0:00,,,,,幼稚園,,,,
554,95,スカイラブハリケーン ,2,11,,2005/4/1 0:00,2016/3/1 0:00,,,,目黒笑売塾3期生,,,,
555,999,姿三平・浅草四郎,2,11,,,,岸田一夫（姿三平） 甲斐力夫（浅草四郎）,,,温泉劇場,,,https://www.youtube.com/channel/UCZv6pw7_W3xeN2C2DvkRimw,
556,108,スカチャン ,2,11,,2009/1/1 0:00,,,ダックス。,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6381,,
557,108,スキヤキ ,2,11,,1993/1/1 0:00,2001/1/1 0:00,,,,,,,,
558,146,スクールゾーン ,2,11,,2010/1/1 0:00,,,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=4438,,
559,117,スクラッチ,2,11,,1996/1/1 0:00,2000/1/1 0:00,,アップスタート（田中）,,,,,,
560,108,すずらん,2,11,,2000/1/1 0:00,,,,,,,,,
561,999,すだちtoかぼす,2,11,,1999/1/1 0:00,2002/1/1 0:00,,,,,,,,
562,16,スタミナパン,2,11,,2014/1/1 0:00,,,だだちゃらす（麻婆） ロブソン（トシダ）,,ワタナベコメディスクール,,https://sma-owarai.com/s/beachv/artist/h016?ima=0000&link=ROBO004,,
563,96,スタンダップコーギー,2,11,,2014/1/1 0:00,,,オンリー2（奥村）,三森大輔,東京アナウンス学院のOB会,,https://www.maseki.co.jp/talent/standupco-gi-,,
564,147,すっきりソング,2,11,,2015/1/1 0:00,2018/1/1 0:00,笑組（植田）,うえはまだ（植田） 詩人歌人（本田）,本田まさゆき,,,http://neet-project.com/profile/sukkiri/,,
565,68,すっぽん大学,2,11,,2006/1/1 0:00,,,アミ・ボロロク・ホエ・デシェ・ジェテ・チャイ（学） ビッグウェー部（ウェルカム）,,お笑いライブ,,http://www.suppondaigaku.com/,,
566,108,素敵じゃないか ,2,11,,2014/1/1 0:00,,,バニラボックス Rating3.0（柏木） インガンダルマ（吉野）,柏木成彦,共通の知人の紹介,,https://profile.yoshimoto.co.jp/talent/detail?id=7022,,
567,146,ステーキハウス,2,11,,2008/4/1 0:00,,,ジンベエザメ,,,,,,
568,108,ストリーク,2,11,,1995/1/1 0:00,2012/1/1 0:00,,,,,,http://streak.jp/,,
569,128,ストレッチーズ,2,11,,2012/1/1 0:00,,,,高木貫太,埼玉県立浦和高等学校,,https://www.ohtapro.co.jp/talent/stretchees.html,,
